teamIDfg,Team,Season,AVG,OBP,SLG,RBI,batter_SO,batter_BB,batter_war,ERA,SV,K/9,WHIP,oppenent_avg,BABIP,pitcher_war,FP,run_diff,Win_Percentage
25,NYM,1977,0.244,0.313,0.346,525,887,529,8.5,3.78,28,5.72,1.3,0.249,0.279,17.6,0.978,-76,0.3950617283950617
26,PHI,1977,0.279,0.346,0.448,795,806,573,38.4,3.71,47,5.29,1.33,0.258,0.284,17.5,0.981,179,0.6234567901234568
27,PIT,1977,0.274,0.331,0.413,678,878,474,27.5,3.61,39,5.41,1.28,0.246,0.269,16.8,0.977,69,0.5925925925925926
28,STL,1977,0.27,0.33,0.388,686,823,489,19.0,3.81,31,4.78,1.35,0.255,0.275,8.2,0.978,49,0.5123456790123457
29,SDP,1977,0.249,0.324,0.375,652,1057,602,17.0,4.45,44,5.08,1.52,0.269,0.291,1.7,0.971,-142,0.42592592592592593
30,SFG,1977,0.253,0.323,0.383,624,842,568,13.4,3.76,33,5.27,1.39,0.263,0.292,15.0,0.972,-38,0.46296296296296297
1,CAL,1978,0.259,0.33,0.37,646,682,539,17.1,3.67,33,5.51,1.36,0.247,0.275,13.0,0.978,25,0.5370370370370371
2,BAL,1978,0.258,0.326,0.396,612,864,552,27.7,3.56,33,4.75,1.29,0.247,0.27,16.8,0.983,26,0.5590062111801242
3,BOS,1978,0.267,0.336,0.424,738,835,582,24.5,3.54,26,4.31,1.35,0.265,0.282,17.4,0.977,139,0.6073619631901841
4,CHW,1978,0.264,0.317,0.379,595,625,409,12.8,4.23,33,4.53,1.39,0.253,0.271,6.8,0.977,-97,0.4409937888198758
5,CLE,1978,0.261,0.323,0.379,596,698,488,13.4,3.99,28,4.73,1.4,0.255,0.28,15.9,0.98,-55,0.4339622641509434
6,DET,1978,0.271,0.339,0.392,666,695,563,24.5,3.67,21,4.23,1.34,0.257,0.273,14.9,0.981,61,0.5308641975308642
7,KCR,1978,0.268,0.329,0.399,695,644,498,27.7,3.44,33,4.11,1.27,0.244,0.261,14.8,0.976,109,0.5679012345679012
8,MIN,1978,0.267,0.339,0.375,621,684,604,19.8,3.71,26,4.33,1.36,0.26,0.282,17.4,0.977,-12,0.4506172839506173
9,NYY,1978,0.267,0.329,0.388,693,695,505,27.8,3.18,36,5.03,1.23,0.238,0.262,20.2,0.982,153,0.6134969325153374
10,OAK,1978,0.245,0.303,0.351,492,800,433,3.1,3.62,29,4.71,1.38,0.252,0.275,13.4,0.971,-158,0.42592592592592593
11,SEA,1978,0.248,0.314,0.359,571,702,522,6.9,4.72,20,3.99,1.48,0.273,0.286,7.0,0.978,-220,0.35
13,TEX,1978,0.253,0.332,0.381,650,779,624,21.8,3.43,25,4.8,1.27,0.254,0.278,21.2,0.976,60,0.5370370370370371
14,TOR,1978,0.25,0.308,0.359,551,645,448,3.7,4.54,23,4.77,1.5,0.272,0.293,8.3,0.979,-185,0.36645962732919257
16,ATL,1978,0.244,0.315,0.363,558,874,550,4.5,4.1,32,5.3,1.41,0.251,0.276,12.0,0.975,-150,0.42592592592592593
17,CHC,1978,0.264,0.331,0.361,612,746,562,12.2,4.06,38,4.75,1.38,0.259,0.281,13.2,0.978,-60,0.4876543209876543
18,CIN,1978,0.256,0.334,0.393,669,899,636,24.8,3.82,46,5.64,1.38,0.255,0.285,12.5,0.978,22,0.5714285714285714
21,HOU,1978,0.258,0.313,0.355,557,743,434,17.1,3.63,23,5.81,1.32,0.24,0.275,14.5,0.978,-29,0.4567901234567901
22,LAD,1978,0.264,0.338,0.402,686,818,610,33.4,3.12,38,5.0,1.25,0.246,0.271,18.1,0.978,154,0.5864197530864198
23,MIL,1978,0.276,0.339,0.432,762,805,520,34.7,3.65,24,3.62,1.28,0.257,0.27,14.8,0.977,154,0.5740740740740741
24,MON,1978,0.254,0.306,0.379,589,881,396,26.0,3.42,32,4.61,1.32,0.244,0.264,5.7,0.979,22,0.4691358024691358
25,NYM,1978,0.245,0.314,0.352,561,829,549,14.7,3.87,26,4.79,1.36,0.258,0.283,10.2,0.979,-83,0.4074074074074074
26,PHI,1978,0.258,0.328,0.388,661,866,552,32.0,3.33,29,5.09,1.21,0.246,0.27,17.5,0.983,122,0.5555555555555556
27,PIT,1978,0.257,0.32,0.385,631,874,480,18.1,3.42,44,5.48,1.29,0.244,0.273,17.6,0.973,47,0.546583850931677
28,STL,1978,0.249,0.303,0.358,568,713,420,10.9,3.59,22,5.38,1.32,0.24,0.27,11.9,0.978,-57,0.42592592592592593
29,SDP,1978,0.252,0.321,0.348,542,848,536,16.7,3.28,55,4.67,1.3,0.251,0.279,17.6,0.975,-7,0.5185185185185185
30,SFG,1978,0.248,0.318,0.374,576,814,554,17.9,3.3,29,5.2,1.26,0.245,0.276,19.3,0.977,19,0.5493827160493827
1,CAL,1979,0.282,0.351,0.429,808,843,589,24.9,4.34,33,5.14,1.42,0.261,0.286,15.1,0.978,98,0.5432098765432098
2,BAL,1979,0.261,0.336,0.419,717,847,608,32.1,3.28,30,4.93,1.22,0.236,0.255,19.1,0.98,175,0.6415094339622641
3,BOS,1979,0.283,0.344,0.456,805,708,512,28.1,4.02,29,4.6,1.36,0.265,0.285,20.4,0.977,130,0.56875
4,CHW,1979,0.275,0.333,0.41,680,668,454,19.2,4.13,37,4.31,1.41,0.25,0.268,12.5,0.972,-18,0.4591194968553459
5,CLE,1979,0.258,0.34,0.384,707,786,657,12.9,4.58,32,4.91,1.45,0.266,0.289,14.7,0.978,-45,0.5031055900621118
6,DET,1979,0.269,0.339,0.415,729,814,575,19.2,4.28,37,5.07,1.39,0.259,0.278,12.9,0.981,32,0.525
7,KCR,1979,0.282,0.343,0.422,791,675,528,27.4,4.46,27,3.98,1.39,0.26,0.269,7.6,0.977,35,0.5246913580246914
8,MIN,1979,0.278,0.341,0.402,714,693,526,16.4,4.16,33,4.49,1.41,0.279,0.302,19.8,0.979,39,0.5061728395061729
9,NYY,1979,0.266,0.328,0.406,694,590,509,19.7,3.85,37,4.59,1.33,0.261,0.283,20.7,0.981,62,0.55625
10,OAK,1979,0.239,0.302,0.346,541,751,482,-9.7,4.78,20,4.57,1.58,0.28,0.3,8.0,0.972,-287,0.3333333333333333
11,SEA,1979,0.269,0.331,0.404,676,725,515,16.2,4.61,26,4.61,1.49,0.274,0.292,14.7,0.978,-109,0.41358024691358025
13,TEX,1979,0.278,0.334,0.409,718,607,461,24.8,3.86,42,4.84,1.32,0.248,0.267,15.4,0.98,52,0.5123456790123457
14,TOR,1979,0.251,0.311,0.363,562,663,448,2.9,4.85,11,3.89,1.5,0.275,0.285,7.0,0.975,-249,0.3271604938271605
16,ATL,1979,0.256,0.318,0.377,626,818,490,2.8,4.18,34,4.98,1.41,0.267,0.29,15.9,0.97,-94,0.4125
17,CHC,1979,0.269,0.329,0.403,663,762,478,12.2,3.9,44,5.8,1.4,0.265,0.298,18.9,0.975,-1,0.49382716049382713
18,CIN,1979,0.264,0.338,0.396,686,902,614,26.6,3.6,40,4.83,1.32,0.254,0.279,17.6,0.98,87,0.5590062111801242
21,HOU,1979,0.256,0.315,0.344,542,745,461,18.0,3.2,31,5.31,1.23,0.233,0.262,17.1,0.978,1,0.5493827160493827
22,LAD,1979,0.263,0.331,0.412,713,834,556,26.0,3.86,34,5.05,1.37,0.254,0.282,16.2,0.981,22,0.4876543209876543
23,MIL,1979,0.28,0.345,0.448,766,745,549,30.5,4.04,23,3.63,1.35,0.274,0.282,12.1,0.98,85,0.5900621118012422
24,MON,1979,0.264,0.319,0.408,651,890,432,26.8,3.14,39,5.06,1.26,0.247,0.272,15.0,0.979,120,0.59375
25,NYM,1979,0.25,0.313,0.35,558,817,498,9.2,3.84,36,4.97,1.41,0.26,0.285,10.3,0.978,-113,0.3888888888888889
26,PHI,1979,0.266,0.34,0.396,641,764,602,29.2,4.16,29,4.91,1.34,0.261,0.283,13.0,0.983,-35,0.5185185185185185
27,PIT,1979,0.272,0.33,0.416,710,855,483,25.5,3.42,52,5.45,1.29,0.248,0.276,17.7,0.979,132,0.6049382716049383
28,STL,1979,0.278,0.331,0.401,685,838,460,26.6,3.74,25,4.77,1.31,0.253,0.274,12.1,0.98,38,0.5308641975308642
29,SDP,1979,0.242,0.311,0.348,559,770,534,15.0,3.7,25,4.83,1.34,0.256,0.281,11.4,0.978,-78,0.422360248447205
30,SFG,1979,0.246,0.319,0.365,616,925,580,9.8,4.17,34,5.52,1.44,0.262,0.29,5.8,0.974,-79,0.4382716049382716
1,CAL,1980,0.265,0.332,0.378,655,889,539,10.4,4.52,30,4.57,1.45,0.272,0.292,9.8,0.978,-99,0.40625
2,BAL,1980,0.273,0.342,0.413,751,766,587,31.5,3.64,41,4.86,1.33,0.257,0.279,15.5,0.985,165,0.6172839506172839
3,BOS,1980,0.283,0.34,0.436,717,720,475,24.7,4.39,43,4.35,1.41,0.274,0.294,15.8,0.977,-10,0.51875
4,CHW,1980,0.259,0.311,0.37,547,670,399,6.1,3.92,42,4.54,1.39,0.256,0.278,13.8,0.974,-135,0.4375
5,CLE,1980,0.277,0.35,0.381,692,625,617,16.3,4.68,32,5.31,1.45,0.269,0.297,13.9,0.983,-69,0.49375
6,DET,1980,0.273,0.348,0.409,767,844,645,22.1,4.26,30,4.54,1.41,0.262,0.279,13.9,0.979,73,0.5185185185185185
7,KCR,1980,0.286,0.345,0.413,766,709,508,30.1,3.84,42,3.79,1.34,0.262,0.275,12.6,0.978,115,0.5987654320987654
8,MIN,1980,0.265,0.319,0.381,634,703,436,12.4,3.93,30,4.61,1.36,0.266,0.289,18.0,0.977,-54,0.4782608695652174
9,NYY,1980,0.267,0.343,0.425,772,739,643,28.6,3.59,50,5.19,1.29,0.253,0.283,23.4,0.978,158,0.6358024691358025
10,OAK,1980,0.259,0.322,0.385,635,824,506,27.4,3.49,13,4.7,1.27,0.24,0.256,13.7,0.979,44,0.5123456790123457
11,SEA,1980,0.248,0.308,0.356,564,727,483,1.7,4.38,26,4.34,1.44,0.272,0.287,13.9,0.977,-183,0.36419753086419754
13,TEX,1980,0.284,0.339,0.405,720,589,480,16.4,4.04,25,5.52,1.43,0.272,0.304,17.1,0.977,4,0.4720496894409938
14,TOR,1980,0.251,0.309,0.383,580,813,448,6.8,4.2,23,4.33,1.47,0.267,0.285,10.1,0.979,-138,0.41358024691358025
16,ATL,1980,0.25,0.307,0.38,597,899,434,12.9,3.77,37,4.39,1.3,0.252,0.268,13.3,0.975,-30,0.5031055900621118
17,CHC,1980,0.251,0.309,0.365,578,912,471,3.0,3.89,35,5.62,1.43,0.264,0.298,14.4,0.974,-114,0.3950617283950617
18,CIN,1980,0.262,0.327,0.386,668,852,537,24.3,3.85,37,5.14,1.31,0.25,0.276,13.5,0.983,37,0.5493827160493827
21,HOU,1980,0.261,0.326,0.367,599,755,540,24.2,3.11,41,5.64,1.24,0.241,0.278,21.6,0.978,48,0.5705521472392638
22,LAD,1980,0.263,0.323,0.388,638,846,492,26.9,3.26,42,5.1,1.25,0.241,0.267,15.6,0.981,72,0.5644171779141104
23,MIL,1980,0.275,0.329,0.448,774,745,455,32.4,3.73,30,3.57,1.34,0.268,0.279,10.2,0.977,129,0.5308641975308642
24,MON,1980,0.257,0.324,0.388,647,865,547,23.1,3.48,36,5.08,1.31,0.255,0.283,16.0,0.977,65,0.5555555555555556
25,NYM,1980,0.257,0.319,0.345,554,840,501,9.8,3.88,33,5.49,1.37,0.26,0.287,7.3,0.975,-91,0.41358024691358025
26,PHI,1980,0.27,0.327,0.4,674,708,472,25.3,3.46,40,5.41,1.32,0.249,0.282,20.2,0.979,89,0.5617283950617284
27,PIT,1980,0.266,0.322,0.388,626,760,452,20.8,3.58,43,5.13,1.28,0.253,0.281,16.9,0.979,20,0.5123456790123457
28,STL,1980,0.275,0.328,0.4,688,781,451,27.0,3.93,27,4.13,1.35,0.26,0.282,10.0,0.981,28,0.4567901234567901
29,SDP,1980,0.255,0.324,0.342,546,791,563,20.9,3.66,39,4.47,1.37,0.26,0.284,9.2,0.98,-63,0.4506172839506173
30,SFG,1980,0.244,0.308,0.342,539,840,509,8.8,3.46,35,5.04,1.34,0.256,0.285,12.0,0.975,-61,0.4658385093167702
1,CAL,1982,0.274,0.347,0.433,760,760,613,34.1,3.82,27,4.48,1.31,0.255,0.274,19.4,0.983,144,0.5740740740740741
2,BAL,1982,0.266,0.341,0.419,735,796,634,30.5,3.99,34,4.43,1.32,0.253,0.268,15.0,0.984,87,0.5802469135802469
3,BOS,1982,0.274,0.34,0.407,705,736,547,18.2,4.04,33,5.05,1.4,0.272,0.294,14.7,0.981,40,0.5493827160493827
4,CHW,1982,0.273,0.337,0.413,747,866,533,17.8,3.87,41,4.71,1.36,0.265,0.292,22.4,0.976,76,0.5370370370370371
5,CLE,1982,0.262,0.341,0.373,639,625,651,13.9,4.12,30,5.41,1.38,0.252,0.279,20.4,0.98,-65,0.48148148148148145
6,DET,1982,0.266,0.324,0.418,684,807,470,27.9,3.81,27,4.59,1.33,0.248,0.259,11.2,0.981,44,0.5123456790123457
7,KCR,1982,0.285,0.337,0.428,746,758,442,30.1,4.08,45,4.09,1.34,0.257,0.267,7.7,0.979,67,0.5555555555555556
8,MIN,1982,0.257,0.316,0.396,624,887,474,15.2,4.77,30,5.1,1.48,0.265,0.279,0.9,0.982,-162,0.37037037037037035
9,NYY,1982,0.256,0.328,0.398,666,719,590,11.7,4.0,39,5.79,1.34,0.258,0.292,24.1,0.979,-7,0.4876543209876543
10,OAK,1982,0.236,0.309,0.367,659,948,582,12.7,4.54,22,4.31,1.48,0.262,0.272,3.6,0.974,-128,0.41975308641975306
11,SEA,1982,0.254,0.311,0.381,614,806,456,7.2,3.9,39,6.11,1.34,0.252,0.279,21.2,0.978,-61,0.4691358024691358
13,TEX,1982,0.249,0.308,0.359,558,750,447,3.7,4.3,24,4.34,1.42,0.274,0.294,13.2,0.981,-159,0.3950617283950617
14,TOR,1982,0.262,0.314,0.383,605,749,415,7.2,3.95,25,4.84,1.33,0.254,0.273,17.5,0.978,-50,0.48148148148148145
16,ATL,1982,0.256,0.325,0.383,687,869,554,17.8,3.82,51,5.0,1.36,0.261,0.286,13.7,0.979,37,0.5493827160493827
17,CHC,1982,0.26,0.317,0.375,647,869,460,12.5,3.93,43,4.75,1.36,0.265,0.288,13.0,0.979,-33,0.4506172839506173
18,CIN,1982,0.251,0.31,0.35,496,817,470,6.0,3.67,31,6.15,1.36,0.251,0.29,17.0,0.98,-116,0.3765432098765432
21,HOU,1982,0.247,0.302,0.349,533,830,435,14.2,3.42,31,5.59,1.26,0.242,0.276,14.9,0.978,-51,0.47530864197530864
22,LAD,1982,0.264,0.327,0.388,661,804,528,26.6,3.28,28,5.64,1.23,0.238,0.272,22.0,0.979,79,0.5432098765432098
23,MIL,1982,0.279,0.335,0.455,843,714,484,35.9,3.99,47,4.4,1.38,0.265,0.281,11.2,0.98,174,0.5864197530864198
24,MON,1982,0.262,0.325,0.396,656,816,503,28.1,3.33,43,5.77,1.25,0.244,0.276,18.8,0.98,81,0.5308641975308642
25,NYM,1982,0.247,0.305,0.35,568,1005,456,7.0,3.88,37,4.72,1.44,0.266,0.29,6.3,0.972,-114,0.4012345679012346
26,PHI,1982,0.26,0.323,0.376,624,831,506,19.0,3.61,33,6.19,1.28,0.249,0.29,22.7,0.981,10,0.5493827160493827
27,PIT,1982,0.273,0.327,0.408,688,862,447,27.7,3.82,39,5.73,1.33,0.252,0.283,13.6,0.977,28,0.5185185185185185
28,STL,1982,0.264,0.334,0.364,632,805,569,27.5,3.37,47,4.23,1.31,0.253,0.274,10.8,0.981,76,0.5679012345679012
29,SDP,1982,0.257,0.311,0.359,611,877,429,23.8,3.52,41,4.66,1.25,0.238,0.254,6.2,0.976,17,0.5
30,SFG,1982,0.253,0.327,0.376,631,915,607,18.1,3.67,45,4.97,1.35,0.262,0.29,11.3,0.973,-14,0.5370370370370371
1,CAL,1983,0.26,0.322,0.393,682,835,509,12.0,4.32,23,4.08,1.45,0.279,0.297,15.7,0.977,-57,0.43209876543209874
2,BAL,1983,0.269,0.34,0.421,761,800,601,28.0,3.64,38,4.8,1.31,0.257,0.279,17.3,0.981,147,0.6049382716049383
3,BOS,1983,0.27,0.335,0.409,690,758,536,16.9,4.34,42,4.77,1.43,0.274,0.294,10.9,0.979,-51,0.48148148148148145
4,CHW,1983,0.262,0.329,0.413,762,888,527,25.8,3.69,48,5.46,1.25,0.245,0.271,20.6,0.981,150,0.6111111111111112
5,CLE,1983,0.265,0.338,0.369,659,691,605,9.7,4.43,25,4.96,1.43,0.271,0.297,15.7,0.98,-81,0.43209876543209874
6,DET,1983,0.274,0.335,0.427,749,831,508,34.3,3.82,28,5.43,1.27,0.239,0.257,13.5,0.98,110,0.5679012345679012
7,KCR,1983,0.271,0.32,0.397,653,722,397,15.1,4.26,49,3.71,1.4,0.269,0.281,9.8,0.974,-71,0.4876543209876543
8,MIN,1983,0.261,0.319,0.401,671,802,467,14.7,4.67,39,4.68,1.49,0.274,0.293,6.6,0.98,-113,0.43209876543209874
9,NYY,1983,0.273,0.337,0.416,728,686,533,24.1,3.89,32,5.51,1.31,0.255,0.285,22.1,0.978,67,0.5617283950617284
10,OAK,1983,0.262,0.326,0.381,662,872,524,19.9,4.35,33,4.45,1.44,0.257,0.275,7.0,0.974,-74,0.4567901234567901
11,SEA,1983,0.24,0.301,0.36,536,840,460,-0.2,4.19,39,5.77,1.41,0.264,0.294,16.1,0.978,-182,0.37037037037037035
13,TEX,1983,0.255,0.31,0.366,587,767,442,13.5,3.31,32,5.07,1.27,0.248,0.276,22.1,0.983,30,0.47530864197530864
14,TOR,1983,0.277,0.338,0.436,749,810,510,28.5,4.12,32,5.2,1.35,0.255,0.278,14.1,0.981,69,0.5493827160493827
16,ATL,1983,0.272,0.341,0.4,691,847,582,22.1,3.67,48,5.59,1.35,0.254,0.283,14.8,0.978,106,0.5432098765432098
17,CHC,1983,0.26,0.319,0.401,649,868,470,15.2,4.08,42,5.08,1.4,0.268,0.296,16.0,0.982,-18,0.4382716049382716
18,CIN,1983,0.239,0.314,0.356,577,1006,588,13.5,4.01,29,5.83,1.38,0.247,0.276,9.8,0.981,-87,0.4567901234567901
21,HOU,1983,0.257,0.32,0.375,615,869,517,25.4,3.45,48,5.55,1.26,0.231,0.261,12.6,0.977,-3,0.5246913580246914
22,LAD,1983,0.25,0.318,0.379,613,925,541,19.8,3.11,40,6.15,1.25,0.238,0.274,21.2,0.973,45,0.5617283950617284
23,MIL,1983,0.277,0.333,0.418,732,665,475,24.5,4.02,43,4.26,1.38,0.265,0.283,10.2,0.982,56,0.5370370370370371
24,MON,1983,0.264,0.326,0.386,632,733,509,29.0,3.59,34,5.5,1.28,0.249,0.278,16.4,0.982,31,0.5061728395061729
25,NYM,1983,0.241,0.3,0.344,542,1031,436,9.0,3.68,33,4.45,1.38,0.25,0.272,7.8,0.976,-105,0.41975308641975306
26,PHI,1983,0.249,0.329,0.373,649,906,640,13.7,3.35,41,6.72,1.3,0.252,0.294,23.8,0.976,61,0.5555555555555556
27,PIT,1983,0.264,0.325,0.383,612,873,497,18.7,3.55,41,6.53,1.33,0.247,0.287,19.5,0.982,11,0.5185185185185185
28,STL,1983,0.27,0.335,0.384,636,879,543,26.3,3.83,27,4.37,1.37,0.26,0.281,8.1,0.976,-31,0.4876543209876543
29,SDP,1983,0.25,0.311,0.351,592,822,482,16.7,3.62,44,5.21,1.31,0.247,0.269,9.1,0.979,0,0.5
30,SFG,1983,0.247,0.325,0.375,638,990,619,18.3,3.73,47,5.48,1.35,0.253,0.281,11.7,0.973,-10,0.4876543209876543
1,CAL,1984,0.249,0.319,0.381,649,928,556,15.0,3.96,26,4.65,1.37,0.266,0.286,16.5,0.98,-1,0.5
2,BAL,1984,0.252,0.328,0.391,647,884,620,24.7,3.71,32,4.46,1.32,0.252,0.268,13.1,0.981,14,0.5246913580246914
3,BOS,1984,0.283,0.341,0.441,767,842,500,24.8,4.19,32,5.79,1.42,0.266,0.297,15.5,0.977,46,0.5308641975308642
4,CHW,1984,0.247,0.314,0.395,640,883,523,15.4,4.14,32,5.2,1.31,0.252,0.272,14.2,0.981,-57,0.4567901234567901
5,CLE,1984,0.265,0.335,0.384,704,815,600,17.1,4.26,35,4.92,1.41,0.263,0.285,13.4,0.977,-5,0.46296296296296297
6,DET,1984,0.271,0.342,0.432,788,941,602,35.5,3.49,51,5.62,1.26,0.242,0.269,19.5,0.979,186,0.6419753086419753
7,KCR,1984,0.268,0.317,0.399,639,832,400,21.1,3.92,50,4.51,1.29,0.254,0.271,14.1,0.979,-13,0.5185185185185185
8,MIN,1984,0.265,0.318,0.385,636,735,437,20.0,3.86,38,4.46,1.32,0.256,0.27,10.8,0.98,-2,0.5
9,NYY,1984,0.276,0.339,0.404,725,673,534,21.6,3.8,43,6.09,1.37,0.259,0.296,21.6,0.977,79,0.5370370370370371
10,OAK,1984,0.259,0.327,0.404,697,871,568,21.1,4.48,44,4.37,1.5,0.273,0.289,5.3,0.975,-58,0.47530864197530864
11,SEA,1984,0.258,0.324,0.384,635,871,519,9.1,4.33,35,6.07,1.47,0.265,0.3,16.5,0.979,-92,0.4567901234567901
13,TEX,1984,0.261,0.313,0.377,618,807,420,8.2,3.91,21,5.4,1.36,0.256,0.28,13.0,0.977,-58,0.42857142857142855
14,TOR,1984,0.273,0.331,0.421,702,816,460,24.9,3.87,33,5.38,1.34,0.253,0.278,15.8,0.98,54,0.5493827160493827
16,ATL,1984,0.247,0.317,0.361,578,896,555,13.1,3.57,49,5.34,1.33,0.251,0.278,14.3,0.978,-23,0.49382716049382713
17,CHC,1984,0.26,0.331,0.397,703,967,567,21.3,3.75,50,5.52,1.32,0.261,0.295,21.2,0.981,104,0.5962732919254659
18,CIN,1984,0.244,0.313,0.356,578,978,566,8.4,4.16,25,5.83,1.38,0.253,0.285,10.1,0.977,-120,0.43209876543209874
21,HOU,1984,0.264,0.323,0.371,640,837,494,21.9,3.33,29,5.9,1.28,0.243,0.28,13.5,0.979,63,0.49382716049382713
22,LAD,1984,0.244,0.306,0.348,530,829,488,11.7,3.17,27,6.36,1.29,0.246,0.289,22.0,0.975,-20,0.4876543209876543
23,MIL,1984,0.262,0.317,0.37,598,673,432,7.9,4.06,41,4.93,1.4,0.269,0.292,12.7,0.978,-93,0.4161490683229814
24,MON,1984,0.251,0.312,0.362,553,782,470,23.6,3.31,48,5.42,1.26,0.244,0.272,13.2,0.978,8,0.484472049689441
25,NYM,1984,0.257,0.32,0.369,607,1001,500,19.4,3.63,50,6.41,1.35,0.247,0.287,13.7,0.979,-24,0.5555555555555556
26,PHI,1984,0.266,0.333,0.407,673,1084,555,30.5,3.62,35,5.58,1.28,0.248,0.279,16.4,0.975,30,0.5
27,PIT,1984,0.255,0.31,0.363,586,841,438,17.3,3.11,34,6.09,1.26,0.241,0.277,19.6,0.98,48,0.46296296296296297
28,STL,1984,0.252,0.317,0.351,610,924,516,19.9,3.58,51,5.02,1.33,0.257,0.287,12.1,0.982,7,0.5185185185185185
29,SDP,1984,0.259,0.317,0.371,629,810,472,24.9,3.48,44,5.0,1.29,0.238,0.26,7.7,0.978,52,0.5679012345679012
30,SFG,1984,0.265,0.328,0.375,646,980,528,15.5,4.39,38,5.26,1.46,0.272,0.301,6.3,0.973,-125,0.4074074074074074
1,CAL,1985,0.251,0.333,0.386,685,902,648,21.8,3.91,41,4.74,1.35,0.258,0.274,13.7,0.982,29,0.5555555555555556
2,BAL,1985,0.263,0.336,0.43,773,908,604,25.3,4.38,33,5.0,1.43,0.265,0.285,10.9,0.979,54,0.515527950310559
3,BOS,1985,0.282,0.347,0.429,760,816,562,27.1,4.06,29,5.62,1.39,0.261,0.291,18.6,0.977,80,0.5
4,CHW,1985,0.253,0.315,0.392,695,843,471,9.8,4.07,39,6.34,1.36,0.251,0.282,17.2,0.982,16,0.5246913580246914
5,CLE,1985,0.265,0.324,0.385,689,817,492,7.5,4.92,28,4.45,1.48,0.274,0.289,7.3,0.977,-132,0.37037037037037035
6,DET,1985,0.253,0.318,0.424,703,926,526,24.6,3.8,40,5.83,1.28,0.236,0.262,19.0,0.977,41,0.5217391304347826
7,KCR,1985,0.252,0.313,0.401,657,840,473,13.1,3.49,41,5.21,1.3,0.253,0.281,24.8,0.98,48,0.5617283950617284
8,MIN,1985,0.264,0.326,0.407,678,779,502,19.5,4.49,34,4.84,1.35,0.263,0.281,13.4,0.98,-77,0.47530864197530864
9,NYY,1985,0.267,0.344,0.425,793,771,620,32.5,3.69,49,5.67,1.31,0.248,0.272,17.5,0.979,179,0.6024844720496895
10,OAK,1985,0.264,0.325,0.401,690,861,508,21.3,4.41,41,4.86,1.42,0.255,0.27,7.2,0.977,-30,0.47530864197530864
11,SEA,1985,0.255,0.326,0.412,686,942,564,17.0,4.68,30,5.46,1.46,0.261,0.286,13.6,0.98,-99,0.4567901234567901
13,TEX,1985,0.253,0.322,0.381,578,819,530,9.4,4.56,33,5.5,1.4,0.265,0.288,10.9,0.98,-168,0.38509316770186336
14,TOR,1985,0.269,0.331,0.425,714,807,503,27.5,3.31,47,5.12,1.24,0.239,0.258,17.0,0.98,171,0.6149068322981367
16,ATL,1985,0.246,0.315,0.363,598,849,553,8.9,4.21,29,4.79,1.48,0.265,0.287,6.0,0.976,-149,0.4074074074074074
17,CHC,1985,0.254,0.324,0.39,640,937,562,18.2,4.17,42,5.12,1.39,0.264,0.286,12.0,0.979,-43,0.4782608695652174
18,CIN,1985,0.255,0.327,0.376,634,856,576,20.7,3.71,45,5.64,1.3,0.243,0.27,14.5,0.98,11,0.5527950310559007
21,HOU,1985,0.261,0.319,0.388,666,873,477,22.8,3.67,42,5.61,1.33,0.248,0.278,9.5,0.976,15,0.5123456790123457
22,LAD,1985,0.261,0.328,0.382,632,846,539,28.3,3.0,36,6.01,1.19,0.23,0.263,20.7,0.974,103,0.5864197530864198
23,MIL,1985,0.263,0.319,0.379,636,746,462,9.2,4.4,37,4.87,1.4,0.266,0.282,7.8,0.977,-112,0.4409937888198758
24,MON,1985,0.247,0.31,0.375,593,880,492,19.0,3.55,53,5.37,1.27,0.241,0.27,17.2,0.981,-3,0.5217391304347826
25,NYM,1985,0.257,0.323,0.385,651,872,546,25.0,3.11,37,6.28,1.22,0.233,0.268,20.1,0.982,127,0.6049382716049383
26,PHI,1985,0.245,0.312,0.383,628,1095,527,14.0,3.68,30,5.59,1.4,0.253,0.284,11.6,0.978,-6,0.46296296296296297
27,PIT,1985,0.247,0.311,0.347,535,842,514,8.2,3.97,29,5.99,1.38,0.252,0.287,15.6,0.979,-140,0.35403726708074534
28,STL,1985,0.264,0.335,0.379,687,853,586,34.3,3.11,44,4.91,1.23,0.241,0.267,17.2,0.983,175,0.6234567901234568
29,SDP,1985,0.255,0.32,0.368,611,809,513,20.4,3.4,44,4.51,1.27,0.251,0.269,14.1,0.98,28,0.5123456790123457
30,SFG,1985,0.233,0.299,0.348,517,962,488,7.9,3.62,24,6.12,1.33,0.242,0.274,14.2,0.976,-118,0.38271604938271603
1,CAL,1986,0.255,0.338,0.404,743,860,671,29.5,3.84,40,5.9,1.26,0.244,0.27,20.8,0.983,102,0.5679012345679012
2,BAL,1986,0.258,0.327,0.395,669,862,563,17.1,4.31,39,5.98,1.38,0.259,0.285,14.5,0.978,-52,0.4506172839506173
3,BOS,1986,0.271,0.346,0.415,752,707,595,21.6,3.93,41,6.5,1.36,0.262,0.296,18.7,0.979,98,0.5900621118012422
4,CHW,1986,0.247,0.31,0.363,605,940,487,10.4,3.94,38,5.58,1.33,0.247,0.272,15.5,0.981,-55,0.4444444444444444
5,CLE,1986,0.284,0.337,0.43,775,944,456,20.5,4.63,34,4.63,1.49,0.268,0.284,7.2,0.975,-10,0.5185185185185185
