teamIDfg,Team,Season,AVG,OBP,SLG,RBI,batter_SO,batter_BB,batter_war,ERA,SV,K/9,WHIP,oppenent_avg,BABIP,pitcher_war,FP,run_diff,Win_Percentage
25,NYM,1971,0.249,0.319,0.351,546,958,547,20.1,3.0,22,7.1,1.2,0.223,0.265,22.1,0.981,38,0.5123456790123457
26,PHI,1971,0.233,0.298,0.35,522,1031,499,11.4,3.71,25,5.13,1.31,0.247,0.27,11.6,0.981,-130,0.41358024691358025
27,PIT,1971,0.274,0.33,0.416,744,919,469,37.3,3.31,48,5.01,1.3,0.252,0.278,13.2,0.979,189,0.5987654320987654
28,STL,1971,0.275,0.338,0.385,686,757,543,24.3,3.87,22,5.59,1.4,0.258,0.291,14.3,0.978,40,0.5555555555555556
29,SDP,1971,0.233,0.293,0.332,447,966,438,6.1,3.23,17,5.78,1.33,0.244,0.278,14.1,0.974,-124,0.37888198757763975
30,SFG,1971,0.247,0.329,0.378,653,1042,654,26.8,3.33,30,5.14,1.23,0.237,0.258,12.2,0.972,62,0.5555555555555556
1,CAL,1972,0.242,0.293,0.33,420,850,358,15.1,3.06,16,6.53,1.26,0.217,0.254,9.4,0.98,-79,0.4838709677419355
2,BAL,1972,0.229,0.302,0.339,483,935,507,24.8,2.54,21,5.17,1.1,0.22,0.245,17.0,0.983,89,0.5194805194805194
3,BOS,1972,0.248,0.318,0.376,594,858,522,18.5,3.5,25,5.98,1.32,0.246,0.281,17.2,0.978,20,0.5483870967741935
4,CHW,1972,0.238,0.31,0.346,528,991,511,10.1,3.12,42,6.08,1.23,0.24,0.276,19.8,0.977,28,0.564935064935065
5,CLE,1972,0.234,0.293,0.33,440,762,420,11.2,2.97,24,5.4,1.25,0.232,0.256,10.9,0.981,-47,0.46153846153846156
6,DET,1972,0.237,0.305,0.356,531,793,483,16.8,2.96,33,6.17,1.21,0.231,0.266,17.6,0.984,44,0.5512820512820513
7,KCR,1972,0.255,0.327,0.353,547,711,534,22.1,3.24,29,5.22,1.23,0.246,0.276,17.5,0.981,35,0.4935064935064935
8,MIN,1972,0.244,0.31,0.344,506,905,478,22.5,2.86,34,5.39,1.17,0.225,0.25,15.2,0.974,2,0.5
9,NYY,1972,0.249,0.316,0.357,526,689,491,24.9,3.03,39,4.1,1.26,0.247,0.267,8.8,0.978,30,0.5096774193548387
10,OAK,1972,0.24,0.306,0.366,565,886,463,30.0,2.58,43,5.47,1.12,0.222,0.248,14.2,0.979,147,0.6
13,TEX,1972,0.217,0.29,0.29,424,926,503,1.4,3.54,34,5.68,1.36,0.24,0.272,7.2,0.972,-167,0.35064935064935066
16,ATL,1972,0.258,0.328,0.382,593,770,532,18.7,4.27,27,4.78,1.4,0.26,0.277,7.8,0.974,-102,0.45454545454545453
17,CHC,1972,0.257,0.33,0.387,634,815,565,19.5,3.22,32,5.3,1.25,0.246,0.273,21.5,0.979,118,0.5483870967741935
18,CIN,1972,0.251,0.33,0.38,650,914,606,35.5,3.21,60,5.13,1.24,0.243,0.265,9.2,0.982,150,0.6168831168831169
21,HOU,1972,0.258,0.326,0.393,660,907,524,24.3,3.77,31,6.31,1.33,0.25,0.287,12.8,0.981,72,0.5490196078431373
22,LAD,1972,0.256,0.319,0.36,543,786,480,25.9,2.78,29,5.49,1.16,0.224,0.253,17.5,0.974,57,0.5483870967741935
23,MIL,1972,0.235,0.302,0.328,461,868,472,15.6,3.45,32,4.79,1.28,0.241,0.262,6.9,0.977,-102,0.4166666666666667
24,MON,1972,0.234,0.303,0.325,462,828,474,9.6,3.6,23,5.7,1.33,0.241,0.273,14.0,0.978,-96,0.44871794871794873
25,NYM,1972,0.225,0.307,0.332,490,990,589,7.3,3.27,41,6.74,1.24,0.235,0.272,17.3,0.98,-50,0.532051282051282
26,PHI,1972,0.236,0.302,0.344,469,930,487,9.5,3.67,15,5.96,1.32,0.246,0.278,15.4,0.981,-132,0.3782051282051282
27,PIT,1972,0.274,0.324,0.397,654,871,404,32.2,2.81,48,5.33,1.21,0.238,0.268,18.2,0.978,179,0.6193548387096774
28,STL,1972,0.26,0.317,0.355,518,793,437,15.9,3.43,13,5.86,1.3,0.242,0.277,19.3,0.977,-32,0.4807692307692308
29,SDP,1972,0.227,0.283,0.332,452,976,407,2.1,3.78,19,6.16,1.4,0.249,0.282,5.7,0.976,-177,0.3790849673202614
30,SFG,1972,0.244,0.309,0.384,600,964,480,23.1,3.7,23,5.01,1.31,0.245,0.265,8.5,0.974,13,0.44516129032258067
1,CAL,1973,0.253,0.318,0.348,595,816,509,9.8,3.57,19,6.24,1.35,0.241,0.278,17.7,0.975,-28,0.4876543209876543
2,BAL,1973,0.266,0.345,0.389,692,752,648,41.2,3.08,26,4.4,1.21,0.236,0.252,14.1,0.981,193,0.5987654320987654
3,BOS,1973,0.267,0.338,0.401,692,799,581,28.3,3.66,33,5.05,1.33,0.255,0.274,16.7,0.979,91,0.5493827160493827
4,CHW,1973,0.256,0.324,0.372,598,952,537,7.6,3.86,35,5.24,1.41,0.261,0.291,18.9,0.977,-53,0.47530864197530864
5,CLE,1973,0.256,0.315,0.387,636,793,471,9.3,4.58,21,5.43,1.46,0.267,0.29,9.6,0.978,-146,0.4382716049382716
6,DET,1973,0.254,0.32,0.39,592,722,509,13.9,3.9,46,5.66,1.35,0.261,0.288,16.7,0.982,-32,0.5246913580246914
7,KCR,1973,0.261,0.339,0.381,703,696,644,15.1,4.21,41,4.91,1.48,0.268,0.295,15.0,0.974,3,0.5432098765432098
8,MIN,1973,0.27,0.342,0.393,688,954,598,21.4,3.77,34,5.45,1.35,0.255,0.285,22.7,0.978,46,0.5
9,NYY,1973,0.261,0.322,0.378,616,680,489,20.4,3.34,39,4.46,1.29,0.25,0.27,15.7,0.975,31,0.49382716049382713
10,OAK,1973,0.26,0.333,0.389,714,919,595,36.0,3.29,41,4.92,1.24,0.237,0.255,9.6,0.978,143,0.5802469135802469
13,TEX,1973,0.255,0.318,0.361,574,791,503,5.5,4.64,27,5.23,1.53,0.268,0.295,7.7,0.974,-225,0.35185185185185186
16,ATL,1973,0.266,0.339,0.427,758,870,608,29.8,4.25,35,4.94,1.4,0.257,0.278,13.2,0.974,25,0.4720496894409938
17,CHC,1973,0.247,0.32,0.357,570,855,575,4.2,3.66,40,5.54,1.33,0.262,0.291,22.1,0.975,-41,0.4782608695652174
18,CIN,1973,0.254,0.332,0.383,686,947,639,31.4,3.43,43,4.89,1.29,0.246,0.266,9.4,0.982,120,0.6111111111111112
21,HOU,1973,0.251,0.312,0.376,634,962,469,18.1,3.78,26,5.59,1.34,0.247,0.277,14.6,0.981,9,0.5061728395061729
22,LAD,1973,0.263,0.323,0.371,623,795,497,27.6,3.0,38,5.8,1.16,0.226,0.252,16.6,0.981,110,0.5900621118012422
23,MIL,1973,0.253,0.325,0.388,669,977,563,20.0,3.98,28,4.15,1.44,0.261,0.279,10.4,0.977,-23,0.4567901234567901
24,MON,1973,0.251,0.34,0.364,613,777,695,22.6,3.73,38,5.37,1.4,0.244,0.269,10.6,0.974,-34,0.4876543209876543
25,NYM,1973,0.246,0.315,0.338,553,805,540,12.4,3.27,40,6.31,1.25,0.24,0.273,19.0,0.98,20,0.5093167701863354
26,PHI,1973,0.249,0.31,0.371,592,979,476,10.8,4.0,22,5.71,1.43,0.257,0.288,13.3,0.978,-75,0.4382716049382716
27,PIT,1973,0.261,0.315,0.405,664,842,432,21.4,3.74,44,5.21,1.37,0.253,0.281,12.6,0.976,11,0.49382716049382713
28,STL,1973,0.259,0.325,0.357,592,796,531,17.9,3.25,36,5.34,1.27,0.243,0.271,19.9,0.975,40,0.5
29,SDP,1973,0.244,0.296,0.351,516,966,401,5.6,4.16,23,5.32,1.4,0.26,0.283,4.6,0.973,-222,0.37037037037037035
30,SFG,1973,0.262,0.335,0.407,684,913,590,25.8,3.8,44,4.88,1.33,0.253,0.272,13.1,0.974,37,0.5432098765432098
1,CAL,1974,0.254,0.321,0.356,550,801,509,16.7,3.53,12,6.17,1.38,0.244,0.281,13.5,0.976,-39,0.41975308641975306
2,BAL,1974,0.256,0.322,0.37,608,770,509,26.6,3.28,25,4.28,1.27,0.248,0.268,14.7,0.98,47,0.5617283950617284
3,BOS,1974,0.264,0.333,0.377,658,811,569,22.4,3.72,18,4.64,1.32,0.258,0.279,16.7,0.977,35,0.5185185185185185
4,CHW,1974,0.268,0.33,0.389,633,858,519,18.0,3.94,29,5.07,1.38,0.258,0.287,14.8,0.977,-37,0.5
5,CLE,1974,0.255,0.311,0.37,616,756,432,17.8,3.82,27,4.04,1.31,0.254,0.267,8.9,0.977,-32,0.4782608695652174
6,DET,1974,0.247,0.303,0.366,579,784,436,6.5,4.17,15,5.37,1.42,0.257,0.281,9.7,0.975,-148,0.4444444444444444
7,KCR,1974,0.259,0.327,0.364,623,768,550,14.8,3.51,17,4.47,1.33,0.257,0.282,16.3,0.976,5,0.47530864197530864
8,MIN,1974,0.272,0.336,0.378,632,791,520,19.7,3.64,29,5.78,1.34,0.255,0.288,18.5,0.976,4,0.5061728395061729
9,NYY,1974,0.263,0.324,0.368,637,690,515,21.6,3.32,24,5.13,1.33,0.251,0.279,15.9,0.977,48,0.5493827160493827
10,OAK,1974,0.247,0.321,0.373,637,876,568,26.0,2.96,28,4.72,1.22,0.241,0.266,21.7,0.977,138,0.5555555555555556
13,TEX,1974,0.272,0.336,0.377,643,710,508,20.3,3.84,12,5.47,1.31,0.255,0.283,15.9,0.974,-8,0.5220125786163522
16,ATL,1974,0.249,0.319,0.363,599,772,571,19.3,3.06,22,4.71,1.24,0.239,0.262,23.3,0.979,98,0.5432098765432098
17,CHC,1974,0.251,0.327,0.365,610,857,621,-0.4,4.3,26,5.49,1.48,0.27,0.301,16.1,0.969,-157,0.4074074074074074
18,CIN,1974,0.26,0.343,0.394,714,940,693,38.6,3.42,27,5.37,1.3,0.242,0.267,14.4,0.979,145,0.6049382716049383
21,HOU,1974,0.263,0.322,0.378,603,864,471,23.4,3.48,18,4.58,1.38,0.25,0.275,10.5,0.982,21,0.5
22,LAD,1974,0.272,0.342,0.401,744,820,597,37.4,2.98,23,5.79,1.18,0.228,0.257,20.9,0.975,237,0.6296296296296297
23,MIL,1974,0.244,0.309,0.369,612,908,500,16.0,3.77,24,3.83,1.35,0.261,0.275,7.9,0.98,-13,0.4691358024691358
24,MON,1974,0.254,0.335,0.35,610,812,652,20.5,3.6,27,5.18,1.32,0.245,0.272,15.3,0.976,5,0.4906832298136646
25,NYM,1974,0.235,0.311,0.329,538,735,597,6.1,3.42,14,5.56,1.32,0.252,0.284,18.9,0.975,-74,0.4382716049382716
26,PHI,1974,0.261,0.32,0.374,636,822,469,17.8,3.92,19,5.55,1.43,0.251,0.282,12.1,0.976,-25,0.49382716049382713
27,PIT,1974,0.274,0.335,0.391,692,828,514,28.1,3.51,17,4.43,1.34,0.25,0.273,15.5,0.975,94,0.5432098765432098
28,STL,1974,0.265,0.331,0.365,610,752,531,23.8,3.49,20,4.85,1.37,0.248,0.274,11.9,0.977,34,0.5341614906832298
29,SDP,1974,0.229,0.302,0.33,506,900,564,0.8,4.61,19,5.32,1.56,0.267,0.296,1.9,0.973,-289,0.37037037037037035
30,SFG,1974,0.252,0.322,0.358,568,869,548,14.8,3.8,25,4.73,1.37,0.25,0.272,8.3,0.972,-89,0.4444444444444444
1,CAL,1975,0.246,0.322,0.328,572,811,593,7.1,3.89,16,6.04,1.38,0.248,0.281,15.0,0.97,-95,0.4472049689440994
2,BAL,1975,0.252,0.326,0.373,635,834,580,29.1,3.17,21,4.45,1.23,0.237,0.255,16.5,0.983,129,0.5660377358490566
3,BOS,1975,0.275,0.344,0.417,756,741,565,29.4,3.99,31,4.51,1.36,0.26,0.277,14.8,0.977,87,0.59375
4,CHW,1975,0.255,0.331,0.358,604,800,611,10.7,3.93,39,4.95,1.48,0.263,0.291,14.1,0.978,-48,0.4658385093167702
5,CLE,1975,0.261,0.327,0.392,643,667,525,19.0,3.85,33,5.02,1.39,0.253,0.275,12.0,0.978,-15,0.4968553459119497
6,DET,1975,0.249,0.301,0.366,546,872,383,-0.4,4.29,17,5.07,1.45,0.269,0.293,14.1,0.972,-216,0.3584905660377358
7,KCR,1975,0.261,0.333,0.394,667,675,591,22.6,3.49,25,5.04,1.32,0.253,0.279,18.1,0.976,61,0.5617283950617284
8,MIN,1975,0.271,0.341,0.386,669,746,563,21.7,4.07,22,5.35,1.4,0.251,0.276,11.0,0.973,-12,0.4779874213836478
9,NYY,1975,0.264,0.325,0.382,642,710,486,23.3,3.29,20,5.11,1.28,0.245,0.271,19.5,0.978,93,0.51875
10,OAK,1975,0.254,0.333,0.391,703,846,609,31.6,3.29,44,4.87,1.24,0.231,0.254,19.2,0.977,152,0.6049382716049383
13,TEX,1975,0.256,0.33,0.371,675,863,613,16.9,3.91,17,4.86,1.35,0.256,0.279,13.9,0.971,-19,0.4876543209876543
16,ATL,1975,0.244,0.313,0.346,541,759,543,-2.3,3.93,24,4.21,1.44,0.27,0.292,16.0,0.973,-156,0.4161490683229814
17,CHC,1975,0.259,0.338,0.368,645,802,650,8.2,4.56,33,5.3,1.48,0.274,0.303,14.6,0.972,-115,0.46296296296296297
18,CIN,1975,0.271,0.353,0.401,779,916,691,43.2,3.37,50,4.09,1.31,0.252,0.269,11.9,0.984,254,0.6666666666666666
21,HOU,1975,0.254,0.32,0.359,606,762,523,18.1,4.05,25,5.18,1.45,0.255,0.284,6.5,0.979,-47,0.39751552795031053
22,LAD,1975,0.248,0.325,0.365,606,825,611,31.1,2.92,21,5.48,1.13,0.219,0.245,20.6,0.979,114,0.5432098765432098
23,MIL,1975,0.25,0.32,0.389,632,922,553,13.8,4.34,34,4.04,1.48,0.265,0.28,3.6,0.971,-117,0.41975308641975306
24,MON,1975,0.244,0.317,0.348,542,954,579,10.9,3.73,25,5.05,1.43,0.253,0.281,11.9,0.973,-89,0.46296296296296297
25,NYM,1975,0.256,0.319,0.361,604,805,501,18.6,3.39,31,6.07,1.31,0.241,0.277,17.9,0.976,21,0.5061728395061729
26,PHI,1975,0.269,0.342,0.402,687,960,610,32.0,3.82,30,5.55,1.31,0.243,0.272,16.0,0.976,41,0.5308641975308642
27,PIT,1975,0.263,0.323,0.402,669,832,468,30.1,3.02,31,4.81,1.29,0.237,0.263,17.1,0.976,147,0.5714285714285714
28,STL,1975,0.273,0.327,0.375,619,649,444,18.2,3.58,36,5.1,1.39,0.254,0.283,14.1,0.973,-27,0.5061728395061729
29,SDP,1975,0.244,0.31,0.335,505,754,506,8.1,3.51,20,4.39,1.38,0.259,0.281,10.9,0.971,-131,0.4382716049382716
30,SFG,1975,0.259,0.333,0.365,606,775,604,13.1,3.74,24,5.38,1.41,0.253,0.285,13.0,0.976,-12,0.4968944099378882
1,CAL,1976,0.235,0.306,0.318,511,812,534,9.2,3.36,17,6.04,1.27,0.237,0.272,16.9,0.976,-81,0.4691358024691358
2,BAL,1976,0.243,0.31,0.358,576,883,519,22.8,3.32,23,4.15,1.28,0.248,0.27,13.9,0.982,21,0.5432098765432098
3,BOS,1976,0.263,0.324,0.402,664,832,500,22.3,3.52,27,4.15,1.31,0.262,0.281,15.7,0.978,56,0.5123456790123457
4,CHW,1976,0.255,0.314,0.349,538,739,471,8.7,4.25,22,4.98,1.42,0.26,0.291,11.9,0.979,-159,0.39751552795031053
5,CLE,1976,0.263,0.321,0.359,567,631,479,14.0,3.48,46,5.83,1.32,0.249,0.288,21.0,0.98,0,0.5094339622641509
6,DET,1976,0.257,0.315,0.365,566,730,450,10.2,3.87,20,4.64,1.38,0.257,0.281,13.0,0.974,-100,0.45962732919254656
7,KCR,1976,0.269,0.327,0.371,656,650,484,25.3,3.21,35,4.49,1.26,0.242,0.266,15.0,0.978,102,0.5555555555555556
8,MIN,1976,0.274,0.341,0.375,691,714,550,28.1,3.72,23,4.7,1.39,0.254,0.281,10.8,0.973,39,0.5246913580246914
9,NYY,1976,0.269,0.328,0.389,681,616,469,38.2,3.19,37,4.17,1.2,0.236,0.254,15.0,0.98,155,0.610062893081761
10,OAK,1976,0.246,0.323,0.361,625,818,592,21.9,3.27,29,4.38,1.25,0.249,0.271,17.9,0.977,88,0.5403726708074534
13,TEX,1976,0.25,0.321,0.341,574,809,568,15.6,3.47,15,4.73,1.31,0.256,0.281,13.5,0.976,-36,0.4691358024691358
16,ATL,1976,0.245,0.32,0.334,586,811,589,-0.7,3.86,27,5.12,1.39,0.255,0.286,17.9,0.974,-80,0.43209876543209874
17,CHC,1976,0.251,0.313,0.356,559,834,490,5.9,3.94,33,5.2,1.36,0.262,0.289,16.0,0.978,-117,0.46296296296296297
18,CIN,1976,0.28,0.357,0.424,802,902,681,45.9,3.51,45,4.83,1.31,0.253,0.279,14.6,0.984,224,0.6296296296296297
21,HOU,1976,0.256,0.322,0.347,571,719,530,22.7,3.56,29,4.86,1.39,0.244,0.272,7.1,0.978,-32,0.49382716049382713
22,LAD,1976,0.251,0.313,0.349,561,744,486,25.1,3.02,28,4.57,1.23,0.238,0.26,14.3,0.98,65,0.5679012345679012
23,MIL,1976,0.246,0.311,0.34,536,909,511,10.0,3.64,27,4.25,1.37,0.254,0.275,7.5,0.975,-85,0.40993788819875776
24,MON,1976,0.235,0.291,0.34,507,841,433,3.3,4.01,21,4.89,1.46,0.258,0.287,8.5,0.976,-203,0.3395061728395062
25,NYM,1976,0.246,0.319,0.352,560,797,561,21.5,2.94,25,6.37,1.15,0.228,0.265,23.4,0.979,77,0.5308641975308642
